idx,company,Title,notes,tax3,tax2,tax1,Enterprise/Sector Type,city,Country,Continent: Asia,website,lat,lng
115,Cristina Gamboa,CEO,World Green Building Council,Over 30,Female,Non-Profit,"NGO/Architecture, Design, Engineering",London,United Kingdom,Europe,https://www.linkedin.com/in/cristina-gamboa-4a21b736/,51.507218,-0.127586
116,Curtis Ravenel,"Finance Advisor, Senior Advisor to Mark Carney",COP26 ,Over 30,Male,Non-Profit,Government,"New York, NY",USA,North America,https://www.linkedin.com/in/curtis-ravenel/,40.712775,-74.005973
117,Cyane Dandridge,Executive Director,Strategic Energy Innovations (SEI),Over 30,Female,Non-Profit,NGO,"San Rafael, CA",USA,North America,https://www.linkedin.com/in/cyane-dandridge-6a86a0/,37.973535,-122.531087
118,Cynthia Hellen,Social Entrepreneur,,Over 30,Female,Non-Profit,NGO,"New York, NY",USA,North America,https://www.cynthiahellen.com/bio,40.712775,-74.005973
119,Damilola Ogunbiyi,"CEO and UN SRSG for Sustainable Energy for All, Co-Chair of UN-Energy","Sustainable Energy for All, UN-Energy",Over 30,Female,Non-Profit,Government,Vienna,Austria,Europe,https://www.linkedin.com/in/damilola-ogunbiyi/,48.208174,16.373819
120,Daniel Kammen,Professor of Energy,UC Berkeley; Renewable and Appropriate Energy Lab,Over 30,Male,Non-Profit,University,"Berkeley, CA",USA,North America,https://www.linkedin.com/in/daniel-kammen-4217346/ ,37.871523,-122.273042
121,Daniel Schrag,Director of the Harvard University Center for the Environment.,Harvard University,Over 30,Male,Non-Profit,University,"Cambridge, MA",USA,North America,https://www.linkedin.com/in/daniel-schrag-6775b58/,42.373616,-71.109734
122,Daniel Schwartz,Director of Clean Energy Institute,University of Washington,Over 30,Male,Non-Profit,University,"Seattle, WA",USA,North America,https://www.linkedin.com/in/dt-schwartz/,47.60621,-122.332071
123,Daniele Horton,Founder and President,Verdani Partners,Over 30,Female,For-Profit,Energy/Environmental,"San Diego, CA",USA,North America,https://www.linkedin.com/in/danielehorton/,32.715738,-117.161084
124,Danny Kennedy,Chief Energy Officer,New Energy Nexus,Over 30,Male,Non-Profit,NGO,"Oakland, CA",USA,North America,https://www.linkedin.com/in/kennedydanny/ ,37.804351,-122.271164
125,Dany Qian,Global Vice President,Jinko Solar,Over 30,Female,For-Profit,Energy/Environmental,Shanghai?,China,Asia,https://www.linkedin.com/in/晶-钱-b77039166/?originalSubdomain=cn,31.230416,121.473701
126,David Baggs,CEO and Program Director,Global Green Tag,Over 30,Male,For-Profit,Energy/Environmental,Brisbane,Australia,Australia/Oceania,https://www.linkedin.com/in/ecolabel-green-product-certification-transparency-cradle-to-cradle-declare/?originalSubdomain=au,-27.470453,153.026034
127,David Johnson,Principal ,SERA Architects,Over 30,Male,For-Profit,"Architecture, Design, Engineering","Oakland, CA",USA,North America,https://www.linkedin.com/in/david-johnson-3a51495,37.804351,-122.271164
128,David Jones,Founder  ,One Young World,Over 30,Male,Non-Profit,NGO,"New York, NY",USA,North America,https://www.linkedin.com/in/davidjonesoyw/,40.712775,-74.005973
129,David Victor,Professor; Center for Global Transformation Endowed Chair in Innovation and Public Policy,University of California San Diego,Over 30,Male,Non-Profit,University,"La Jolla, CA",USA,North America,https://gps.ucsd.edu/faculty-directory/david-victor.html,32.832811,-117.271272
130,David Yeung ,Founder/CEO,Green Monday/Omni Food,Over 30,Male,For-Profit,Plant based food,Hong Kong,China,Asia,https://www.linkedin.com/in/greenmonday-david/,22.319304,114.169361
