idx,First_Middle_Name,Last_Name,company,Title,notes,tax1,city,Country,Continent,website,"lat, lng",lat,lng,tax2,tax3
103,Scott,Beckerman,Scott Beckerman,"Senior Vice President, Director of Corporate Sustainability",Comerica,For-Profit,"Detroit, MI",USA,North America,https://www.linkedin.com/in/sbeckerman/,"42.331427, -83.0457538",42.331427,-83.045754,Unknown,Unknown
104,Bob,Mumgaard,Bob Mumgaard,CEO,Commonwealth Fusion Systems,For-Profit,"Boston, MA",USA,North America,https://www.linkedin.com/in/mumgaard/,"42.3600825, -71.0588801",42.360082,-71.05888,Unknown,Unknown
105,Jason,Youner,Jason Youner,Founder and CEO,Companies vs Climate Change Sustainability Consulting,For-Profit,"New York, NY",USA,North America,https://www.linkedin.com/in/jasonyouner/,"40.7127753, -74.0059728",40.712775,-74.005973,Unknown,Unknown
106,M.,Sanjayan,M. Sanjayan,Chief Executive Officer,Conservation International,Non-Profit,"Arlington, VA",USA,North America,"https://www.conservation.org/experts-list/m-sanjayan-phd 
https://www.linkedin.com/in/m-sanjayan-7a9593b4/ ","38.8816208, -77.09098089999999",38.881621,-77.090981,Unknown,Unknown
107,Curtis,Ravenel,Curtis Ravenel,"Finance Advisor, Senior Advisor to Mark Carney",COP26 ,Non-Profit,"New York, NY",USA,North America,https://www.linkedin.com/in/curtis-ravenel/,"40.7127753, -74.0059728",40.712775,-74.005973,Unknown,Unknown
108,Robert,Horton,Robert Horton,VP of Environmental Affairs and Sustainability,Dallas Fort Worth International Airport,For-Profit,"Irving, TX",USA,North America,https://www.linkedin.com/in/robert-horton/,"32.8140177, -96.9488945",32.814018,-96.948894,Unknown,Unknown
109,Deanna,Bratter,Deanna Bratter,Head of Sustainable Development,Danone,For-Profit,"Lafayette, CO",USA,North America,https://www.linkedin.com/in/deannabratter/,"39.9935959, -105.0897058",39.993596,-105.089706,Unknown,Unknown
110,Kim,Thomassin,Kim Thomassin,Executive Vice-President and Head of Investments in Québec and Stewardship Investing,CDPQ,For-Profit,Montreal,Canada,North America,https://www.linkedin.com/in/kim-thomassin-794682/,"45.5016889, -73.567256",45.501689,-73.567256,Unknown,Unknown
111,Nancy,Pfund,Nancy Pfund,Founder and Managing Partner,DBL Ventures,For-Profit,"San Francisco, CA",USA,North America,https://www.linkedin.com/in/nancy-pfund-30b6ab13/,"37.7749295, -122.4194155",37.77493,-122.419416,Unknown,Unknown
112,Heather,Richman,Heather Richman,Founder,Defense Investor Network,Non-Profit,"San Francisco, CA",USA,North America,https://www.linkedin.com/in/heatherjrichman/,"37.7749295, -122.4194155",37.77493,-122.419416,Unknown,Unknown
